near_miss_id,site_id,report_date,hazard_category,shift,location_on_site,potential_severity,corrective_action_taken,description
65,1,2024-04-27,Mobile equipment,Day,Haul road,High,False,Quisquam quas minus omnis recusandae itaque mollitia voluptas quae occaecati deleniti hic.
66,1,2024-01-31,Mobile equipment,Night,Camp,Low,False,Molestias rerum dignissimos ex est ut velit quidem incidunt.
67,1,2024-10-27,Hazardous substances,Night,Haul road,Low,True,Recusandae quasi numquam ullam tempora magnam ipsum quas quia error ducimus similique quos.
68,1,2023-08-09,Explosives,Day,Processing plant,Low,True,Porro delectus ipsam laboriosam veritatis laudantium aperiam deserunt ducimus magnam totam consequuntur reiciendis fugit modi iure officiis architecto.
69,1,2024-09-26,Ground fall,Night,Open pit,Low,False,Reiciendis fugiat deleniti officiis neque aut quibusdam provident totam rem necessitatibus delectus error quisquam debitis numquam occaecati cum.
70,1,2025-10-10,Manual handling,Afternoon,Processing plant,Low,True,Earum officia officiis labore perspiciatis animi cupiditate veritatis ipsa sit velit numquam expedita totam rem autem nostrum eligendi.
71,1,2023-07-10,Ground fall,Day,Workshop,Medium,True,Doloremque soluta cumque minima ipsam officiis nam iusto quos veniam rerum modi.
72,1,2026-02-05,Hazardous substances,Day,Processing plant,Low,True,Natus quaerat dolorem adipisci voluptatem autem nisi quibusdam at culpa rerum.
73,1,2026-01-14,Electrical,Afternoon,Open pit,Medium,True,Necessitatibus neque vitae perferendis mollitia consequuntur consectetur nisi incidunt.
74,1,2024-11-28,Mobile equipment,Night,Camp,Low,False,Commodi iusto magnam dolorum nemo harum cumque sapiente esse tenetur harum sed explicabo corporis odio eligendi repellat.
75,1,2024-09-12,Ground fall,Afternoon,Workshop,Low,True,In neque aperiam odio exercitationem veritatis culpa assumenda.
76,1,2025-02-06,Explosives,Night,Open pit,Low,True,Cupiditate accusamus nam dolore accusamus sunt repellendus amet ipsam a aliquam architecto nam nisi officiis.
77,1,2025-11-10,Mobile equipment,Night,Camp,High,True,Architecto sunt ipsam beatae impedit culpa quod nemo quibusdam laboriosam.
78,1,2025-10-13,Ground fall,Day,Open pit,Medium,False,Fuga voluptate accusamus assumenda placeat ducimus odio vel officiis eaque beatae dicta harum accusantium eius occaecati illum asperiores.
79,1,2024-09-12,Explosives,Afternoon,Workshop,Low,True,Cumque magnam deleniti nulla eos asperiores veritatis est exercitationem perferendis quibusdam iste magnam facere fuga dolor ipsum.
80,1,2024-03-09,Manual handling,Night,Processing plant,Medium,False,Quod vel eius amet praesentium fuga labore officia eum eos.
81,1,2024-09-12,Mobile equipment,Afternoon,Open pit,Low,False,Omnis officia veritatis architecto voluptates nostrum expedita dolore suscipit veniam temporibus unde aspernatur enim non.
82,1,2025-12-19,Electrical,Afternoon,Open pit,Medium,False,Libero minima incidunt suscipit iste assumenda tempore fugiat fuga consequatur temporibus neque et impedit.
83,1,2025-08-08,Hazardous substances,Day,Workshop,High,False,At eveniet hic quod vitae dolores quas quod totam laboriosam illo voluptas dolores assumenda repudiandae iusto architecto odio.
84,1,2024-07-20,Ground fall,Night,Open pit,High,False,Repudiandae sapiente inventore mollitia dolores quidem inventore ipsa fuga voluptatum vero corporis.
85,1,2024-04-15,Electrical,Day,Processing plant,High,False,Nihil ipsum at eaque repellendus sit veritatis assumenda dicta corrupti repudiandae eius.
86,1,2023-09-07,Ground fall,Day,Underground,High,True,Aspernatur accusantium quas autem voluptates laudantium dolore itaque odio voluptas dolorum enim.
87,1,2024-10-19,Ground fall,Day,Underground,High,False,Inventore nobis ad voluptatum consectetur quasi minima dolore.
88,1,2026-01-20,Explosives,Day,Haul road,Low,False,Dolor eius non nam totam suscipit harum eveniet eius tempore temporibus ipsam qui cumque inventore mollitia perspiciatis.
89,1,2023-09-26,Mobile equipment,Afternoon,Underground,Medium,True,Rerum placeat tempora dolorum amet fugiat perspiciatis impedit.
90,1,2026-04-11,Ground fall,Night,Underground,High,True,Saepe ab possimus consectetur ad explicabo quidem dolores voluptates numquam illo saepe est quia enim deleniti corrupti quisquam.
91,1,2025-02-17,Mobile equipment,Day,Underground,Low,False,Consequatur velit rerum exercitationem id harum reprehenderit aut et corporis sunt numquam recusandae repudiandae repudiandae optio soluta deserunt quaerat.
92,1,2026-03-29,Ground fall,Afternoon,Camp,Medium,False,Eaque quaerat sit voluptas doloribus quo non tempore laudantium voluptatibus sapiente qui et ipsa ullam incidunt accusamus ipsum voluptas.
93,1,2026-02-09,Fall from height,Day,Open pit,Medium,True,Modi corrupti architecto aperiam a nulla dolores accusantium facilis eius animi odit velit culpa nobis quaerat aspernatur maiores necessitatibus.
94,1,2024-10-26,Hazardous substances,Day,Camp,Low,False,Voluptatibus aperiam dolor quibusdam dignissimos cum tempore velit labore reprehenderit facere nostrum quam consequuntur ipsa deleniti.
95,1,2023-11-20,Ground fall,Afternoon,Haul road,High,True,Animi eius nihil vero suscipit provident eius maxime earum tempora similique.
96,1,2024-09-10,Ground fall,Day,Processing plant,Low,True,Perspiciatis laudantium recusandae doloribus fuga quibusdam quisquam quasi dolores iure dignissimos doloremque minus magni nostrum odio laudantium.
97,1,2025-04-07,Mobile equipment,Day,Open pit,Medium,False,Deserunt voluptates neque unde veniam quidem temporibus atque totam rerum.
98,2,2023-12-02,Electrical,Night,Workshop,Low,True,Hic corrupti blanditiis accusantium quisquam esse laboriosam perspiciatis quisquam explicabo officia fugiat libero molestias similique soluta repudiandae vel.
99,2,2024-02-01,Mobile equipment,Afternoon,Processing plant,Low,False,Porro vero beatae corporis quisquam dignissimos consequuntur asperiores voluptate repudiandae.
100,2,2024-08-08,Fall from height,Afternoon,Haul road,High,True,Sapiente occaecati earum animi assumenda odit voluptate laudantium veritatis dicta reprehenderit placeat inventore ex.
101,2,2026-03-11,Mobile equipment,Night,Haul road,Low,True,Veniam nostrum cumque excepturi perspiciatis cupiditate at accusantium quod ipsam vero.
102,2,2024-09-18,Ground fall,Day,Underground,Low,True,Cupiditate magnam totam doloremque doloribus quasi accusantium amet perferendis minima veritatis recusandae optio minus accusamus quia nemo.
103,2,2026-03-01,Explosives,Night,Workshop,Medium,True,Dignissimos commodi modi tenetur temporibus optio itaque quidem sapiente odio voluptatibus unde corporis asperiores in consequatur dicta porro.
104,2,2025-12-19,Ground fall,Afternoon,Underground,High,False,Commodi omnis soluta aliquid excepturi corporis voluptates ex qui dolor vero beatae culpa necessitatibus.
105,2,2023-06-24,Mobile equipment,Afternoon,Camp,High,False,Sint accusantium quibusdam quaerat optio modi ipsam harum ipsa nemo a alias aspernatur sapiente.
106,2,2026-02-19,Explosives,Day,Processing plant,Medium,False,At facere error neque enim non ex porro a corrupti nemo qui accusantium dolor modi.
107,2,2024-03-20,Fall from height,Night,Camp,Low,False,Quae omnis dolorem dolorum aliquam suscipit nam hic perferendis velit.
108,2,2025-11-11,Fall from height,Day,Underground,Low,True,Fuga ipsum aut esse cupiditate iusto quae et nihil ipsam non quod libero laboriosam doloribus laborum quos veniam laboriosam.
109,2,2025-03-19,Fall from height,Day,Underground,Medium,False,Deleniti nulla placeat veniam dolore maxime nihil asperiores temporibus cupiditate quasi hic ad consectetur nulla magni.
110,2,2025-08-23,Ground fall,Afternoon,Workshop,Medium,True,Iusto fugit nihil natus sit quae impedit architecto amet.
111,2,2024-04-22,Fall from height,Night,Workshop,Medium,True,Nostrum unde doloribus quasi sed tempora assumenda harum quis quia architecto.
112,2,2026-03-21,Mobile equipment,Afternoon,Haul road,Medium,True,Aspernatur similique unde vero fugiat a distinctio animi non error quos sint dolore itaque magni provident eius atque.
113,2,2023-12-06,Explosives,Night,Haul road,Medium,False,Corrupti repellendus aliquid aspernatur perferendis error atque omnis at.
114,2,2023-09-22,Manual handling,Day,Processing plant,Medium,False,Facilis architecto mollitia maxime tempora reprehenderit nisi aspernatur minus blanditiis.
115,2,2026-02-09,Explosives,Afternoon,Camp,Low,False,Voluptas magni quae exercitationem nam suscipit repellat delectus maxime neque similique quisquam.
116,2,2025-10-28,Explosives,Afternoon,Open pit,Medium,False,Voluptate reprehenderit dolore veniam odio necessitatibus quo alias aut in consequatur magnam accusamus delectus.
117,2,2025-05-21,Fall from height,Night,Underground,Low,True,Libero quasi libero enim consectetur maxime ad recusandae architecto rem itaque nostrum neque fugiat.
118,2,2025-10-08,Manual handling,Day,Open pit,High,False,Soluta eum voluptate deleniti perspiciatis hic sunt voluptatum neque.
119,2,2025-01-14,Ground fall,Afternoon,Processing plant,Medium,False,Magni illo error deleniti dicta laborum debitis perferendis reiciendis suscipit quos neque vitae veritatis dolore nihil non.
120,2,2026-02-05,Fall from height,Day,Haul road,Low,False,Qui esse cupiditate aliquid facilis quo magni at cum pariatur libero.
121,2,2026-04-15,Electrical,Night,Underground,Low,True,Ex inventore nostrum alias a blanditiis ex vitae.
122,2,2023-07-21,Explosives,Day,Camp,High,False,Ab dolore vitae quasi consequuntur labore fugit fuga nisi ad unde.
123,2,2023-06-30,Mobile equipment,Day,Haul road,High,True,Nam ipsum consequatur doloremque in doloremque modi molestiae molestiae incidunt exercitationem enim quidem atque itaque excepturi ullam mollitia.
124,2,2025-08-24,Electrical,Afternoon,Haul road,Low,True,Totam ut expedita vel expedita ullam harum officia beatae autem esse similique earum dolor odit neque fugit corporis.
125,2,2024-02-15,Mobile equipment,Day,Camp,Low,True,Sapiente illum dicta iste beatae sunt quaerat ut perspiciatis tempore dignissimos corrupti reiciendis.
126,2,2025-08-07,Electrical,Night,Underground,High,False,Quo quibusdam deleniti delectus corporis voluptatibus molestias ut quo.
127,2,2025-01-01,Electrical,Afternoon,Open pit,Medium,False,Voluptas cupiditate ea sint mollitia vero consequuntur minus voluptate.
128,2,2024-04-02,Mobile equipment,Night,Workshop,Medium,False,Repellendus optio animi similique numquam deleniti cumque pariatur nihil eos doloremque magni vero cupiditate accusamus voluptas veniam.
129,2,2024-03-28,Mobile equipment,Night,Processing plant,Low,True,Quidem minima vel maxime culpa autem eos aut perferendis consequatur perferendis.
130,2,2025-06-09,Mobile equipment,Night,Camp,Medium,True,Quos officiis asperiores consequatur amet eveniet quo voluptate explicabo quisquam eaque architecto.
131,2,2025-08-10,Hazardous substances,Night,Haul road,Low,True,Enim doloremque eaque neque placeat perferendis eligendi accusamus tempore modi magni nihil totam.
132,2,2023-09-09,Explosives,Day,Underground,Medium,True,In accusantium provident voluptas voluptas harum vitae sint pariatur ab quae necessitatibus incidunt quisquam fugiat ex magni occaecati.
133,2,2024-11-21,Explosives,Day,Workshop,Low,False,Repellat culpa voluptates numquam rem sapiente atque aperiam provident iure incidunt.
134,2,2025-03-02,Mobile equipment,Day,Underground,Medium,True,Nisi sed labore maiores fuga necessitatibus sequi possimus consectetur dolores suscipit non.
135,2,2026-04-11,Ground fall,Afternoon,Underground,Medium,True,Repellat quos assumenda architecto accusantium perspiciatis eos aliquam.
136,2,2026-04-15,Explosives,Night,Camp,Low,True,Et animi fugit consequatur voluptatum aperiam dolores quas.
137,2,2025-02-11,Mobile equipment,Night,Processing plant,Medium,True,Voluptatibus quisquam dolorum vitae iure maxime quo aspernatur provident odio distinctio.
138,2,2024-05-03,Fall from height,Night,Processing plant,High,True,Impedit tenetur facilis tempore distinctio accusamus eaque voluptatem fuga.
139,2,2025-05-05,Explosives,Night,Workshop,Low,False,Vero adipisci animi deleniti consequuntur accusantium consequuntur tempora provident nulla quas consequuntur quos incidunt autem maiores veniam ut excepturi.
140,2,2024-11-09,Mobile equipment,Day,Haul road,High,False,Nihil corporis dolorum accusantium voluptate aspernatur consequatur veritatis delectus.
141,2,2026-04-14,Ground fall,Night,Processing plant,Medium,True,Quasi unde voluptatibus nemo ullam dolorem aspernatur ipsam blanditiis optio sed a nemo temporibus occaecati voluptates reprehenderit minima molestiae.
142,2,2024-11-24,Mobile equipment,Afternoon,Open pit,High,False,Quod ipsa blanditiis tempora saepe doloribus illo expedita tempora recusandae non dignissimos.
143,2,2024-01-05,Mobile equipment,Day,Camp,High,False,Placeat sapiente eaque hic odit itaque magni quia consequatur vitae nobis molestias sequi laborum.
144,2,2024-05-22,Explosives,Day,Haul road,Low,True,Sed blanditiis iusto laudantium at porro commodi officiis laudantium rem consectetur delectus maxime blanditiis reprehenderit eos vel velit voluptatum.
145,2,2025-08-20,Manual handling,Night,Haul road,Medium,True,Eum totam totam neque nulla consequatur praesentium consequuntur assumenda soluta exercitationem iure.
146,2,2023-06-12,Electrical,Night,Workshop,High,False,Culpa asperiores fugit voluptatum repudiandae placeat inventore fugit beatae cum quasi adipisci suscipit est facilis exercitationem cum.
147,2,2024-10-27,Mobile equipment,Night,Open pit,Medium,False,Voluptatem ullam officiis eos autem voluptates beatae ut.
148,2,2024-02-23,Hazardous substances,Night,Haul road,Medium,False,Aperiam earum tenetur atque eveniet repellat eveniet cupiditate voluptatum velit hic harum deserunt dolores.
149,2,2024-06-21,Fall from height,Afternoon,Processing plant,Low,True,Facilis saepe consectetur eaque incidunt sint soluta reiciendis non consectetur asperiores aliquid vero ea molestias quis unde quos.
150,2,2023-08-16,Ground fall,Afternoon,Underground,High,False,Distinctio pariatur dolor aut enim molestiae quo ipsum eveniet.
151,2,2025-05-17,Ground fall,Afternoon,Camp,Medium,True,Eaque temporibus aliquam dignissimos commodi impedit recusandae nostrum consequuntur.
152,2,2024-06-18,Manual handling,Night,Workshop,High,False,Voluptas repudiandae dolore voluptas aliquid ipsum occaecati asperiores dolore repellendus totam rerum quia ratione.
153,2,2025-09-19,Fall from height,Night,Workshop,Low,True,Impedit non blanditiis quis aliquam cupiditate aliquam quos earum rerum a repudiandae mollitia dolorem.
154,2,2025-07-18,Fall from height,Night,Open pit,High,True,Veritatis quis consectetur quod reprehenderit sit possimus nemo minus fugiat quia fuga aliquid harum iste consectetur.
155,2,2025-01-30,Ground fall,Day,Processing plant,High,False,Quasi sapiente suscipit sunt soluta magnam laboriosam nemo odit facere a impedit adipisci soluta amet.
156,2,2026-04-06,Electrical,Night,Camp,Low,False,In magni doloribus quae earum laboriosam quas praesentium optio perferendis expedita harum labore perferendis vero perspiciatis.
157,2,2025-04-20,Fall from height,Afternoon,Workshop,High,True,Excepturi molestiae reiciendis ad veritatis tempore sint deserunt reiciendis iure quasi rerum expedita quibusdam placeat reiciendis quas placeat tempora.
158,2,2025-03-02,Hazardous substances,Night,Camp,Medium,True,Recusandae molestias deserunt distinctio perspiciatis esse nihil libero nam tenetur sequi voluptatibus accusamus.
159,2,2023-07-31,Ground fall,Day,Open pit,High,False,Necessitatibus dolorem magni magnam impedit magnam fugiat molestiae dolorum.
160,2,2025-07-01,Ground fall,Afternoon,Open pit,High,False,Odio rem numquam omnis facere delectus tempore id aperiam et voluptatum repudiandae architecto.
161,2,2025-08-08,Electrical,Afternoon,Processing plant,High,False,Cum perferendis quibusdam sunt distinctio accusamus non nobis mollitia quidem distinctio iusto ab aliquam quisquam.
162,2,2024-12-19,Mobile equipment,Day,Processing plant,Medium,True,Repudiandae ullam sit minus quisquam fuga atque rerum quos tempore deleniti iusto culpa in illum exercitationem quaerat expedita omnis.
163,2,2024-12-21,Mobile equipment,Night,Camp,Medium,True,Assumenda molestias dolorem officiis consequuntur ab consequuntur earum sed.
164,2,2025-05-22,Ground fall,Night,Camp,Medium,False,Veniam iusto suscipit optio quam atque quae perspiciatis magni quam perferendis quam.
165,2,2025-02-05,Explosives,Day,Workshop,Low,False,Incidunt architecto reprehenderit recusandae soluta quis quae cumque deserunt quasi quam assumenda veritatis.
166,2,2024-09-21,Mobile equipment,Night,Camp,Low,False,Eveniet molestiae suscipit autem sunt ducimus quas amet distinctio reiciendis similique perspiciatis officia.
167,2,2024-12-08,Electrical,Day,Camp,Low,False,Placeat adipisci ab perspiciatis similique laudantium reiciendis officiis molestias blanditiis ratione.
168,2,2024-09-11,Mobile equipment,Afternoon,Camp,Low,False,Fuga nemo dolores cumque velit quae ducimus consequuntur consectetur itaque.
169,2,2025-02-20,Ground fall,Night,Workshop,Medium,False,Necessitatibus reiciendis tenetur explicabo ullam quasi perferendis vel non natus rerum necessitatibus doloremque fugit laboriosam facilis.
170,2,2025-05-02,Electrical,Afternoon,Underground,Low,False,Perferendis deserunt atque rerum laborum occaecati eius repudiandae.
171,2,2023-11-08,Ground fall,Day,Haul road,Medium,False,Sequi laudantium in accusamus quis blanditiis pariatur adipisci dolorum.
172,2,2024-06-30,Explosives,Night,Underground,Medium,True,Ex eligendi unde ut sit voluptas explicabo occaecati consequatur omnis voluptas.
173,2,2025-06-02,Ground fall,Day,Camp,High,False,Accusantium numquam neque perspiciatis ullam earum sequi illo iusto totam ipsa nostrum dolor.
174,2,2025-12-28,Electrical,Day,Camp,Medium,False,Optio at tenetur natus ipsa nihil qui temporibus ad quae voluptatibus blanditiis eos perspiciatis aperiam eveniet maxime quia.
175,2,2023-05-29,Mobile equipment,Afternoon,Open pit,High,False,Doloribus rerum sequi error delectus id repellendus magnam cupiditate deserunt.
176,2,2023-12-20,Fall from height,Day,Processing plant,Low,False,Eveniet error iste at cum officiis animi porro unde provident consequuntur mollitia illum tempora.
177,2,2023-10-10,Electrical,Day,Haul road,Low,False,Corporis in totam vitae reprehenderit accusamus sunt eaque iusto repudiandae nostrum consequuntur provident voluptatum illum.
178,2,2024-05-18,Ground fall,Day,Camp,Low,True,Id nam in earum corporis minima aspernatur quae laudantium est blanditiis at recusandae dolor itaque consequuntur.
179,2,2025-01-23,Electrical,Afternoon,Camp,Low,True,Eligendi beatae tempora ullam placeat dolores nostrum quibusdam.
180,2,2023-08-12,Ground fall,Day,Open pit,High,False,Ullam error tempora quos magnam perspiciatis non officiis neque dolorem repudiandae ab.
181,3,2024-06-20,Mobile equipment,Night,Haul road,Low,False,Fuga fuga inventore perspiciatis asperiores ipsam dolorem aliquid tempore omnis voluptate perspiciatis dignissimos alias aspernatur consequatur ab ea soluta.
182,3,2026-04-18,Ground fall,Night,Haul road,Medium,False,Modi eligendi natus tenetur ab velit assumenda autem nam sed vel debitis amet.
